membership:3_PacBio_aggregated_set_id	3_PacBio_aggregated
BCM_Fam_BH16264	BCM_m84101_250224_171655_s1_A11...PacBio
BCM_Fam_BH16506	BCM_m84101_250224_211519_s3_A11...PacBio
BCM_Fam_BH16506	BCM_m84101_250224_231427_s4_A11...PacBio
BCM_Fam_BCM17736	BCM_m84101_250226_050741_s2_A11...PacBio
BCM_Fam_BCM17736	BCM_m84101_250226_070654_s3_A11...PacBio
BCM_Fam_BCM17741	BCM_m84101_250226_090610_s4_A11...PacBio
BCM_Fam_BCM17745	BCM_m84101_250227_125956_s1_A11...PacBio
BCM_Fam_BCM17745	BCM_m84101_250227_145915_s2_A11...PacBio
BCM_Fam_BCM17745	BCM_m84101_250227_165833_s3_A11...PacBio
BCM_Fam_BCM17746	BCM_m84101_250227_185744_s4_A11...PacBio
BCM_Fam_BCM17746	BCM_m84101_250228_225133_s1_A11...PacBio
BCM_Fam_BCM17739	BCM_m84101_250301_024956_s3_A11...PacBio
BCM_Fam_BCM17739	BCM_m84101_250301_044911_s4_A11...PacBio
BCM_Fam_BCM17491	BCM_m84101_250303_221121_s2_A11...PacBio
BCM_Fam_BCM17491	BCM_m84101_250304_001033_s3_A11...PacBio
BCM_Fam_BCM17491	BCM_m84101_250304_020944_s4_A11...PacBio
BCM_Fam_BCM17732	BCM_m84101_250305_060340_s1_A11...PacBio
BCM_Fam_BCM17799	BCM_m84101_250305_100206_s3_A11...PacBio
BCM_Fam_BCM17799	BCM_m84101_250305_120121_s4_A11...PacBio
BCM_Fam_BCM17840	BCM_m84101_250306_155517_s1_A11...PacBio
BCM_Fam_BCM17840	BCM_m84101_250306_175434_s2_A11...PacBio
BCM_Fam_BCM17394	BCM_m84101_250308_014824_s1_A11...PacBio
BCM_Fam_BCM17396	BCM_m84101_250308_034736_s2_A11...PacBio
BCM_Fam_BCM17396	BCM_m84101_250308_054649_s3_A11...PacBio
BCM_Fam_BCM17396	BCM_m84101_250308_074603_s4_A11...PacBio
BCM_Fam_BH16101	BCM_m84101_250309_153836_s3_A11...PacBio
BCM_Fam_BH16101	BCM_m84101_250309_173750_s4_A11...PacBio
BCM_Fam_BH16682	BCM_m84101_250310_213137_s1_A11...PacBio
BCM_Fam_BH16682	BCM_m84101_250310_233056_s2_A11...PacBio
